date,tariff_rate,global_cpo_price_usd,import_volume_mt,domestic_production_mt,farmer_price_inr,consumer_price_inr,import_dependency_pct,cultivation_area_mha
2014-01-01,100.0,619.87,0.3836,0.1413,63.85,85.59,73.08,0.4511
2014-02-01,100.0,627.66,0.4748,0.1006,67.16,94.62,82.51,0.4496
2014-03-01,100.0,684.25,0.4898,0.1188,67.98,96.83,80.48,0.4475
2014-04-01,100.0,730.5,0.5252,0.1264,62.4,94.27,80.6,0.4523
2014-05-01,100.0,655.36,0.4092,0.1235,63.46,91.65,76.82,0.4502
2014-06-01,100.0,636.59,0.4013,0.1146,61.72,87.67,77.79,0.456
2014-07-01,100.0,682.32,0.5026,0.1189,65.32,95.67,80.87,0.4512
2014-08-01,100.0,623.04,0.4795,0.1162,67.22,89.11,80.49,0.4515
2014-09-01,100.0,554.79,0.4635,0.1154,68.7,98.46,80.06,0.449
2014-10-01,100.0,590.43,0.4754,0.13,65.89,96.27,78.53,0.4506
2014-11-01,100.0,561.42,0.4183,0.1252,68.96,93.67,76.96,0.4525
2014-12-01,100.0,586.48,0.4689,0.1149,62.98,93.45,80.32,0.4425
2015-01-01,100.0,647.98,0.4842,0.131,62.41,90.27,78.71,0.4445
2015-02-01,100.0,594.96,0.4233,0.1252,65.64,92.37,77.17,0.455
2015-03-01,100.0,627.65,0.5588,0.1305,66.56,96.75,81.07,0.4523
2015-04-01,100.0,685.38,0.5008,0.1288,65.8,100.64,79.54,0.4506
2015-05-01,100.0,662.51,0.4129,0.1144,61.7,88.84,78.31,0.4517
2015-06-01,100.0,696.83,0.5122,0.1172,65.7,94.44,81.37,0.4534
2015-07-01,100.0,621.13,0.4155,0.1305,63.17,88.91,76.1,0.4491
2015-08-01,100.0,574.15,0.4942,0.1293,67.06,92.99,79.27,0.448
2015-09-01,100.0,670.49,0.532,0.1231,66.58,97.37,81.21,0.453
2015-10-01,100.0,597.99,0.4186,0.1247,63.87,88.66,77.05,0.4472
2015-11-01,100.0,620.95,0.5124,0.1364,64.75,92.63,78.97,0.4542
2015-12-01,100.0,586.41,0.4779,0.1179,63.62,89.45,80.21,0.4438
2016-01-01,7.5,654.82,0.7896,0.1295,42.57,63.91,85.91,0.365
2016-02-01,7.5,714.22,0.8552,0.1221,44.69,66.33,87.5,0.3624
2016-03-01,7.5,688.9,0.743,0.1222,40.77,63.15,85.88,0.3614
2016-04-01,7.5,761.2,0.7321,0.1355,43.84,62.66,84.38,0.3651
2016-05-01,7.5,717.3,0.7165,0.1329,41.72,60.51,84.35,0.3686
2016-06-01,7.5,710.89,0.7189,0.133,41.18,57.66,84.39,0.3655
2016-07-01,7.5,671.68,0.748,0.1381,42.51,61.05,84.42,0.3513
2016-08-01,7.5,743.03,0.7832,0.1254,40.74,61.13,86.2,0.3542
2016-09-01,7.5,649.63,0.7613,0.1322,41.59,63.41,85.21,0.3576
2016-10-01,7.5,603.01,0.7795,0.1224,40.24,56.56,86.43,0.3609
2016-11-01,7.5,689.45,0.756,0.1289,46.67,70.62,85.43,0.3635
2016-12-01,7.5,632.87,0.8168,0.1245,42.74,66.77,86.77,0.3574
2017-01-01,100.0,723.25,0.4714,0.127,64.51,93.33,78.78,0.4545
2017-02-01,100.0,669.7,0.6099,0.1321,66.27,100.1,82.2,0.4499
2017-03-01,100.0,720.11,0.5153,0.1182,65.68,91.35,81.35,0.4507
2017-04-01,100.0,792.34,0.4556,0.1474,65.56,89.77,75.55,0.4469
2017-05-01,100.0,809.16,0.4483,0.1166,67.25,90.45,79.36,0.4494
2017-06-01,100.0,767.71,0.5177,0.1147,67.48,100.59,81.86,0.4473
2017-07-01,100.0,729.42,0.4747,0.1386,64.86,94.52,77.4,0.4493
2017-08-01,100.0,695.19,0.5147,0.1351,64.72,92.21,79.21,0.4596
2017-09-01,100.0,629.32,0.4895,0.1336,65.24,93.92,78.56,0.4497
2017-10-01,100.0,654.82,0.4673,0.1338,61.22,84.27,77.74,0.4677
2017-11-01,100.0,676.42,0.4329,0.1275,62.82,97.15,77.24,0.4571
2017-12-01,100.0,762.28,0.4167,0.1189,68.69,98.12,77.81,0.4556
2018-01-01,100.0,766.94,0.4711,0.1288,69.26,98.82,78.53,0.4505
2018-02-01,100.0,715.86,0.526,0.1214,65.4,95.47,81.25,0.4584
2018-03-01,100.0,824.5,0.5156,0.1381,67.19,97.15,78.88,0.4521
2018-04-01,100.0,807.36,0.4392,0.127,66.64,95.64,77.57,0.4557
2018-05-01,100.0,790.84,0.5068,0.1204,72.15,100.04,80.8,0.468
2018-06-01,100.0,823.62,0.524,0.1256,68.28,98.59,80.66,0.4548
2018-07-01,100.0,813.58,0.4585,0.1331,65.77,99.43,77.5,0.4611
2018-08-01,100.0,782.78,0.5042,0.1235,64.08,95.54,80.32,0.452
2018-09-01,100.0,693.19,0.4815,0.1211,62.66,94.37,79.9,0.4554
2018-10-01,100.0,709.55,0.4248,0.1319,66.3,92.97,76.3,0.4646
2018-11-01,100.0,746.4,0.5072,0.1321,64.43,89.01,79.33,0.4527
2018-12-01,100.0,797.32,0.5275,0.1248,63.16,89.89,80.87,0.465
2019-01-01,100.0,772.32,0.5486,0.1253,64.68,92.49,81.41,0.4595
2019-02-01,100.0,817.25,0.5561,0.1325,63.87,94.5,80.76,0.4533
2019-03-01,100.0,805.58,0.4322,0.1159,69.39,93.6,78.86,0.4594
2019-04-01,100.0,813.22,0.4558,0.1164,67.79,101.1,79.65,0.4612
2019-05-01,100.0,888.72,0.5435,0.1235,66.1,93.77,81.49,0.4595
2019-06-01,100.0,891.7,0.544,0.1287,69.08,96.98,80.87,0.4486
2019-07-01,100.0,807.76,0.5273,0.1341,66.17,91.3,79.72,0.453
2019-08-01,100.0,823.97,0.6974,0.1459,64.32,86.86,82.7,0.4555
2019-09-01,100.0,779.53,0.5244,0.1399,69.03,100.66,78.94,0.4564
2019-10-01,100.0,734.41,0.5437,0.1299,67.0,95.67,80.71,0.46
2019-11-01,100.0,785.9,0.5449,0.1315,63.92,87.42,80.56,0.4579
2019-12-01,100.0,858.12,0.5442,0.1218,65.7,89.81,81.71,0.4504
2020-01-01,10.0,828.35,0.7599,0.1318,41.79,60.41,85.22,0.3691
2020-02-01,10.0,925.56,0.8331,0.1293,40.9,65.22,86.57,0.3704
2020-03-01,10.0,783.34,0.728,0.1356,45.34,65.43,84.3,0.3702
2020-04-01,10.0,932.24,0.7846,0.1242,47.49,64.61,86.33,0.3729
2020-05-01,10.0,898.0,0.7653,0.1379,40.83,59.39,84.74,0.3718
2020-06-01,10.0,863.78,0.7869,0.1482,44.71,64.55,84.15,0.37
2020-07-01,10.0,852.61,0.8963,0.1319,42.27,53.98,87.17,0.3674
2020-08-01,10.0,742.62,0.6652,0.1372,42.46,62.16,82.9,0.3596
2020-09-01,10.0,794.57,0.8032,0.1402,42.32,61.43,85.14,0.3701
2020-10-01,10.0,812.8,0.6919,0.1295,41.8,63.51,84.24,0.3691
2020-11-01,10.0,868.86,0.7602,0.1359,43.69,69.53,84.83,0.3696
2020-12-01,10.0,814.16,0.8273,0.134,41.86,64.9,86.06,0.3619
2021-01-01,17.5,835.75,0.7579,0.135,45.97,66.25,84.88,0.3705
2021-02-01,17.5,881.21,0.7099,0.1264,45.38,62.95,84.88,0.3813
2021-03-01,17.5,963.05,0.7443,0.1346,45.11,73.62,84.69,0.3759
2021-04-01,17.5,950.81,0.8116,0.1395,43.76,64.25,85.34,0.3796
2021-05-01,17.5,911.62,0.7333,0.1492,44.37,64.94,83.1,0.3764
2021-06-01,17.5,934.57,0.7852,0.1444,47.06,68.46,84.46,0.3765
2021-07-01,17.5,891.12,0.768,0.1565,46.5,68.37,83.07,0.3812
2021-08-01,17.5,899.17,0.7348,0.1275,43.55,63.36,85.21,0.374
2021-09-01,17.5,813.57,0.8574,0.1441,45.6,64.84,85.62,0.3772
2021-10-01,17.5,823.7,0.7839,0.1373,46.92,66.7,85.09,0.3745
2021-11-01,17.5,832.35,0.6527,0.1576,42.08,61.72,80.55,0.3747
2021-12-01,17.5,814.65,0.7598,0.1278,46.49,66.13,85.61,0.3755
2022-01-01,5.0,1118.23,0.8156,0.1276,41.33,58.66,86.47,0.3657
2022-02-01,5.0,1300.02,0.9276,0.1302,44.03,64.76,87.69,0.3623
2022-03-01,5.0,1464.93,0.8784,0.1151,41.57,60.35,88.41,0.3711
2022-04-01,5.0,1446.57,0.9086,0.1312,39.46,62.79,87.38,0.3604
2022-05-01,5.0,1334.5,0.9171,0.1291,39.68,50.61,87.66,0.3641
2022-06-01,5.0,1315.51,0.9314,0.1383,43.0,66.33,87.07,0.3629
2022-07-01,5.0,1211.82,0.8073,0.1404,43.3,67.19,85.18,0.3724
2022-08-01,5.0,1086.63,0.8256,0.1559,40.81,53.87,84.11,0.3663
2022-09-01,5.0,1023.5,0.806,0.1468,43.82,63.12,84.59,0.3706
2022-10-01,5.0,991.27,0.7906,0.1317,39.18,56.77,85.72,0.3581
2022-11-01,5.0,1021.78,0.9176,0.1287,42.41,58.02,87.7,0.3669
2022-12-01,5.0,938.47,0.8329,0.1428,40.01,56.68,85.37,0.3701
2023-01-01,5.0,954.98,0.753,0.1248,41.15,57.22,85.78,0.3662
2023-02-01,5.0,974.89,0.8659,0.1565,42.57,67.73,84.69,0.3712
2023-03-01,5.0,926.27,0.9164,0.1501,40.7,62.75,85.92,0.3634
2023-04-01,5.0,1013.19,0.8793,0.1338,41.76,65.19,86.79,0.3731
2023-05-01,5.0,1011.82,0.7514,0.1215,44.54,67.29,86.08,0.3777
2023-06-01,5.0,1089.17,0.8186,0.1524,41.47,57.6,84.31,0.3645
2023-07-01,5.0,956.14,0.8796,0.1379,44.13,63.0,86.45,0.3642
2023-08-01,5.0,949.08,0.7794,0.1515,40.19,60.72,83.72,0.3738
2023-09-01,5.0,916.86,0.8306,0.1234,43.46,60.01,87.07,0.3745
2023-10-01,5.0,866.66,0.8371,0.1335,45.23,68.19,86.24,0.3641
2023-11-01,5.0,970.35,0.7727,0.1397,37.53,54.94,84.69,0.3647
2023-12-01,5.0,979.86,0.818,0.1403,40.89,59.08,85.36,0.3655
2024-01-01,5.0,1014.62,0.6659,0.1355,43.68,66.1,83.09,0.3603
2024-02-01,5.0,979.79,0.7697,0.1464,42.08,63.14,84.02,0.3625
2024-03-01,5.0,1097.43,0.8319,0.1297,43.38,62.47,86.52,0.3622
2024-04-01,5.0,996.48,0.7619,0.1391,41.3,64.23,84.56,0.3635
2024-05-01,5.0,1071.18,0.9209,0.1419,42.77,59.5,86.65,0.3672
2024-06-01,5.0,1116.55,0.7768,0.146,42.35,64.01,84.18,0.3687
2024-07-01,5.0,962.51,0.7955,0.1481,44.8,67.26,84.3,0.3754
2024-08-01,5.0,952.67,0.8221,0.1299,42.96,62.07,86.35,0.3627
2024-09-01,27.5,960.54,0.8217,0.126,48.76,71.81,86.7,0.3952
2024-10-01,27.5,931.56,0.672,0.1543,47.23,65.0,81.33,0.3893
2024-11-01,27.5,900.91,0.7958,0.145,47.03,71.27,84.59,0.3903
2024-12-01,27.5,990.83,0.7562,0.1343,47.26,68.24,84.91,0.394
2025-01-01,27.5,978.78,0.7042,0.1575,48.9,69.44,81.72,0.3851
2025-02-01,27.5,1086.75,0.798,0.1433,47.4,72.14,84.77,0.3927
2025-03-01,27.5,1069.51,0.7814,0.1541,48.8,68.77,83.52,0.3917
2025-04-01,27.5,1192.85,0.7661,0.1432,52.53,71.69,84.25,0.3935
2025-05-01,27.5,1108.01,0.7826,0.1633,50.01,67.85,82.74,0.3925
2025-06-01,27.5,1121.02,0.7624,0.1604,47.64,71.13,82.62,0.4035
2025-07-01,27.5,1152.97,0.7938,0.1405,50.73,69.64,84.96,0.3881
2025-08-01,27.5,1057.72,0.8021,0.1529,47.39,74.24,83.99,0.3887
2025-09-01,27.5,1110.61,0.8589,0.1498,44.2,58.42,85.15,0.3884
2025-10-01,27.5,1162.29,0.7281,0.1572,46.32,72.63,82.24,0.3888
